x y
Blue Cone Positions
2.14131800e+01 -1.55348500e+01
2.24123700e+01 -1.54912500e+01
2.40612600e+01 -1.55274800e+01
2.59547100e+01 -1.54729600e+01
2.81723400e+01 -1.48059800e+01
2.98700600e+01 -1.31884200e+01
3.04947000e+01 -1.03910800e+01
2.92561300e+01 -8.27689700e+00
2.73884800e+01 -6.93302500e+00
2.52542700e+01 -6.46777300e+00
2.34036100e+01 -6.45528900e+00
2.17476600e+01 -6.50684000e+00
2.00717900e+01 -6.46864600e+00
1.83456700e+01 -6.45949400e+00
1.66452500e+01 -6.47390400e+00
1.49450200e+01 -6.48847000e+00
1.32416400e+01 -6.50131400e+00
1.15386000e+01 -6.51382300e+00
9.85087700e+00 -6.52678100e+00
8.20276500e+00 -6.50037300e+00
6.40784900e+00 -6.51573100e+00
4.71948000e+00 -6.57222000e+00
3.14546800e+00 -6.55178200e+00
1.74653100e+00 -6.35107700e+00
7.65261200e-01 -5.92029900e+00
1.50504100e-01 -5.18504500e+00
2.34464900e-01 -4.92237700e+00
9.52356500e-01 -4.11212700e+00
1.96225300e+00 -3.72668700e+00
3.47459200e+00 -3.46872400e+00
4.97198600e+00 -3.40881300e+00
6.63700100e+00 -3.46306300e+00
8.37822300e+00 -3.49955100e+00
1.00810600e+01 -3.49967700e+00
1.17838800e+01 -3.49980300e+00
1.34867200e+01 -3.49992800e+00
1.51876400e+01 -3.50559700e+00
1.68860500e+01 -3.51857600e+00
1.85918800e+01 -3.52762600e+00
2.03393300e+01 -3.50072200e+00
2.19308000e+01 -3.53033800e+00
2.36569700e+01 -3.59860600e+00
2.55489400e+01 -3.52996900e+00
2.76467800e+01 -2.99064000e+00
2.94886300e+01 -1.58221100e+00
3.06199100e+01 7.15759400e-01
2.96156700e+01 3.41655500e+00
2.79133300e+01 4.77402400e+00
2.57509900e+01 5.45647100e+00
2.38412900e+01 5.53853100e+00
2.21454100e+01 5.49413300e+00
2.04887000e+01 5.52584400e+00
1.87594900e+01 5.53408400e+00
1.70599900e+01 5.51939300e+00
1.53605000e+01 5.50470300e+00
1.36642900e+01 5.49989200e+00
1.19619900e+01 5.49969100e+00
1.02596800e+01 5.49949000e+00
8.55737300e+00 5.49929000e+00
6.85361300e+00 5.47529000e+00
5.15646000e+00 5.45106900e+00
3.52496300e+00 5.47064200e+00
1.79713200e+00 5.53206000e+00
2.98795300e-01 5.62068500e+00
-5.78522400e-01 5.94449900e+00
-1.30859200e+00 6.76083900e+00
-1.39762000e+00 7.03070000e+00
-7.44753000e-01 7.80692400e+00
1.34577900e-01 8.27560300e+00
1.53169600e+00 8.43770600e+00
3.25764400e+00 8.51085900e+00
4.86030300e+00 8.55355400e+00
6.54349800e+00 8.53047700e+00
8.24735500e+00 8.50223500e+00
9.95412000e+00 8.49984600e+00
1.16532600e+01 8.49942500e+00
1.33523800e+01 8.49900300e+00
1.50516100e+01 8.49752500e+00
1.67521400e+01 8.48083300e+00
1.84526700e+01 8.46414100e+00
2.01811900e+01 8.46903900e+00
2.18508100e+01 8.50831700e+00
2.35055700e+01 8.45213600e+00
2.53218100e+01 8.43868100e+00
2.73633700e+01 8.74821700e+00
2.94417000e+01 9.98263300e+00
3.07221000e+01 1.20027900e+01
3.02051200e+01 1.49233000e+01
2.85961000e+01 1.64609100e+01
2.65115800e+01 1.73511300e+01
2.45373400e+01 1.75474700e+01
2.27764500e+01 1.75172900e+01
2.11573500e+01 1.75032100e+01
1.94202500e+01 1.75323900e+01
1.77071000e+01 1.75268500e+01
1.60076900e+01 1.75123800e+01
1.43048600e+01 1.74994600e+01
1.25983200e+01 1.74761300e+01
1.08958100e+01 1.74469100e+01
9.23547200e+00 1.74428900e+01
7.58913600e+00 1.75116200e+01
5.80960100e+00 1.75253200e+01
4.15097000e+00 1.75230300e+01
2.65135100e+00 1.76394700e+01
1.46188800e+00 1.79786000e+01
8.71174200e-01 1.84983100e+01
5.19609200e-01 1.96373500e+01
3.27056800e-01 2.12139100e+01
1.14059400e-01 2.29959000e+01
-5.15418500e-01 2.50545100e+01
-2.07531300e+00 2.68202500e+01
-3.86743900e+00 2.78467300e+01
-6.00108000e+00 2.83792900e+01
-8.21226000e+00 2.80634900e+01
-1.00999300e+01 2.71952800e+01
-1.17850700e+01 2.56256500e+01
-1.26777000e+01 2.36429900e+01
-1.30301200e+01 2.17249100e+01
-1.31392000e+01 1.99071400e+01
-1.31547400e+01 1.81813300e+01
-1.31770100e+01 1.65299400e+01
-1.32927600e+01 1.48734400e+01
-1.33827900e+01 1.31402500e+01
-1.34379800e+01 1.14278600e+01
-1.34847500e+01 9.72146100e+00
-1.35315200e+01 8.01505200e+00
-1.35653200e+01 6.31245000e+00
-1.35917100e+01 4.61203800e+00
-1.36181100e+01 2.91161000e+00
-1.36470500e+01 1.21592400e+00
-1.37098500e+01 -4.26306800e-01
-1.38258800e+01 -2.11871300e+00
-1.39189900e+01 -3.86882300e+00
-1.38875600e+01 -5.70596900e+00
-1.37776800e+01 -7.44209300e+00
-1.34590400e+01 -9.37387600e+00
-1.24734000e+01 -1.13971700e+01
-1.11027300e+01 -1.28639800e+01
-9.54359300e+00 -1.40269400e+01
-7.71016300e+00 -1.49171800e+01
-5.77842400e+00 -1.53613400e+01
-3.93362800e+00 -1.55162200e+01
-2.16099300e+00 -1.55335000e+01
-4.58302900e-01 -1.55019500e+01
1.19011900e+00 -1.54929200e+01
2.90775200e+00 -1.55280700e+01
4.61875300e+00 -1.55254800e+01
6.32095400e+00 -1.55148300e+01
8.02315500e+00 -1.55041700e+01
8.79689000e+00 -1.55000000e+01
1.04949300e+01 -1.55002900e+01
1.21929700e+01 -1.55005800e+01
1.38910100e+01 -1.55008700e+01
1.55890400e+01 -1.55011700e+01
1.72887100e+01 -1.55150900e+01
1.82887100e+01 -1.55150900e+01
Yellow Cone Positions
2.14801800e+01 -1.25350600e+01
2.23796900e+01 -1.24914600e+01
2.41298100e+01 -1.25282800e+01
2.56326700e+01 -1.24903100e+01
2.66565600e+01 -1.22179800e+01
2.73923300e+01 -1.14972700e+01
2.75823600e+01 -1.11045300e+01
2.70789400e+01 -1.03407400e+01
2.62180600e+01 -9.69474400e+00
2.50407400e+01 -9.46009900e+00
2.34931400e+01 -9.45395200e+00
2.17508700e+01 -9.50680900e+00
2.00277500e+01 -9.46828300e+00
1.83539600e+01 -9.45947900e+00
1.66545000e+01 -9.47388900e+00
1.49548500e+01 -9.48845400e+00
1.32583400e+01 -9.50125500e+00
1.15614900e+01 -9.51372700e+00
9.84933200e+00 -9.52674500e+00
8.09812700e+00 -9.49854700e+00
6.49403000e+00 -9.51449100e+00
4.78431500e+00 -9.57150700e+00
2.95964700e+00 -9.54598300e+00
9.99285600e-01 -9.25639100e+00
-1.08728400e+00 -8.27954900e+00
-2.59254600e+00 -6.39682000e+00
-2.36392600e+00 -3.42420700e+00
-8.38949600e-01 -1.70709000e+00
1.27315000e+00 -8.06997200e-01
3.11064000e+00 -4.90963200e-01
5.00776800e+00 -4.09052800e-01
6.74085400e+00 -4.64862800e-01
8.39844100e+00 -4.99624600e-01
1.00956100e+01 -4.99729900e-01
1.17927700e+01 -4.99835000e-01
1.34899400e+01 -4.99940300e-01
1.51889600e+01 -5.05598800e-01
1.68904500e+01 -5.18580700e-01
1.85845300e+01 -5.27669400e-01
2.02365000e+01 -5.02487700e-01
2.20433400e+01 -5.32456300e-01
2.37143500e+01 -5.99185500e-01
2.52179000e+01 -5.48383000e-01
2.64033200e+01 -2.60592000e-01
2.72319100e+01 3.94243000e-01
2.76435100e+01 1.07232900e+00
2.73825100e+01 1.41374900e+00
2.64346500e+01 2.16381000e+00
2.53717500e+01 2.48067300e+00
2.38872600e+01 2.53890200e+00
2.21843500e+01 2.49439800e+00
2.04419700e+01 2.52624200e+00
1.87712800e+01 2.53410700e+00
1.70709100e+01 2.51941300e+00
1.53705400e+01 2.50472000e+00
1.36667700e+01 2.49989900e+00
1.19690900e+01 2.49971100e+00
1.02714100e+01 2.49952300e+00
8.57372500e+00 2.49933500e+00
6.87785800e+00 2.47539700e+00
5.17539400e+00 2.45115700e+00
3.40745700e+00 2.47296300e+00
1.73796200e+00 2.53264700e+00
-1.54365300e-01 2.65523400e+00
-2.40205800e+00 3.56279000e+00
-3.91373800e+00 5.27450800e+00
-4.14042700e+00 8.24446900e+00
-2.68115500e+00 1.00979300e+01
-5.79366500e-01 1.11893900e+01
1.39370900e+00 1.14345100e+01
3.06449200e+00 1.15046300e+01
4.86006300e+00 1.15535500e+01
6.57648900e+00 1.15302900e+01
8.27215500e+00 1.15021000e+01
9.96536900e+00 1.14998200e+01
1.16662300e+01 1.14993900e+01
1.33670800e+01 1.14989700e+01
1.50678500e+01 1.14974800e+01
1.67671400e+01 1.14807900e+01
1.84664100e+01 1.14641100e+01
2.01377900e+01 1.14687100e+01
2.18670200e+01 1.15082500e+01
2.36101800e+01 1.14503100e+01
2.51927800e+01 1.14358600e+01
2.65060900e+01 1.16228200e+01
2.73186300e+01 1.21017200e+01
2.78645700e+01 1.29138100e+01
2.77566700e+01 1.31908700e+01
2.69100700e+01 1.39797600e+01
2.58905500e+01 1.44161300e+01
2.44858600e+01 1.45479400e+01
2.28476800e+01 1.45181400e+01
2.10677900e+01 1.45045500e+01
1.94055100e+01 1.45324500e+01
1.77187600e+01 1.45268700e+01
