tag,x,y
yellow,0.458143347,-0.005761016
yellow,0.534771183,-0.533717419
yellow,0.665159053,-1.031833151
yellow,0.591861156,-1.269600873
yellow,0.382087414,-1.575378383
yellow,0.315115651,-1.89732235
yellow,0.301925018,-2.285946208
yellow,0.515765062,-2.61274379
yellow,0.84547437,-2.783211989
yellow,1.091927729,-2.977604006
yellow,1.423277727,-3.174290615
yellow,1.423662184,-3.173809806
yellow,1.787283828,-3.080921563
yellow,2.080560188,-2.785732697
yellow,2.148557152,-2.442215254
yellow,2.014768523,-2.014847987
yellow,1.678322344,-1.581116543
yellow,1.526952667,-1.015823768
yellow,1.495559273,-0.467211173
yellow,1.468279981,-0.035547418
yellow,1.221644934,0.42125627
yellow,0.594125887,0.455191364
yellow,0.457428757,-0.006888786
yellow,0.534771183,-0.533717419
yellow,0.665159053,-1.031833151
yellow,0.591861156,-1.269600873
yellow,0.382087414,-1.575378383
yellow,0.315115651,-1.89732235
yellow,0.301925018,-2.285946208
yellow,0.515765062,-2.61274379
yellow,0.84547437,-2.783211989
yellow,1.091927729,-2.977604006
yellow,1.423277727,-3.174290615
yellow,1.423662184,-3.173809806
yellow,1.787283828,-3.080921563
yellow,2.080560188,-2.785732697
yellow,2.148557152,-2.442215254
yellow,2.014768523,-2.014847987
yellow,1.678322344,-1.581116543
yellow,1.526952667,-1.015823768
yellow,1.495559273,-0.467211173
yellow,1.468279981,-0.035547418
yellow,1.221644934,0.42125627
yellow,0.594125887,0.455191364
yellow,0.457428757,-0.006888786
blue,-0.463529482,0.001613644
blue,-0.551552209,-0.599375546
blue,-0.513529438,-1.170699429
blue,-0.929000555,-1.984968669
blue,-0.796870726,-2.636807659
blue,-0.270555758,-3.194730969
blue,0,-3.54730969
blue,0.486022192,-3.771948905
blue,1.105994635,-4.009007278
blue,1.910667345,-4.075668385
blue,2.669092562,-3.689438838
blue,3.189117482,-3.075730476
blue,3.200949117,-2.073149333
blue,2.752037029,-1.386883566
blue,2.331618211,-0.772644038
blue,2.401232371,0.00601608
blue,2.035967432,0.865586731
blue,1.230381982,1.306241608
blue,0.543520015,1.616379464
blue,0.15,1.610915088
blue,-0.173624426,1.610915088
blue,-0.619669433,0.839286097
blue,-0.463529482,0.001613644
blue,-0.551552209,-0.599375546
blue,-0.513529438,-1.170699429
blue,-0.929000555,-1.984968669
blue,-0.796870726,-2.636807659
blue,-0.270555758,-3.194730969
blue,0,-3.54730969
blue,0.486022192,-3.771948905
blue,1.105994635,-4.009007278
blue,1.910667345,-4.075668385
blue,2.669092562,-3.689438838
blue,3.189117482,-3.075730476
blue,3.200949117,-2.073149333
blue,2.752037029,-1.386883566
blue,2.331618211,-0.772644038
blue,2.401232371,0.00601608
blue,2.035967432,0.865586731
blue,1.230381982,1.306241608
blue,0.543520015,1.616379464
blue,0.15,1.610915088
blue,-0.173624426,1.610915088
blue,-0.619669433,0.839286097
blue,-0.463529482,0.001613644
