
x y

Blue Cone Positions
 3.34290000e-01  2.99733000e+00
-1.33633333e-03  2.99953000e+00
-3.33333333e-01  3.00000000e+00
-6.66666667e-01  3.00000000e+00
-1.00447000e+00  2.99322000e+00
-1.33710667e+00  2.99456000e+00
-1.67706333e+00  3.00757000e+00
-2.00552000e+00  2.99740000e+00
-2.34181333e+00  2.99897333e+00
-2.63033000e+00  2.92189667e+00
-2.93439333e+00  2.67625333e+00
-3.00515667e+00  2.34221333e+00
-3.00164000e+00  1.99003000e+00
-3.00739000e+00  1.66081000e+00
-3.00919333e+00  1.33884667e+00
-3.00421000e+00  9.87753333e-01
-2.99876333e+00  6.64103333e-01
-2.99905667e+00  3.29540667e-01
-3.00021000e+00 -3.65400000e-03
-2.99511000e+00 -3.32595667e-01
-2.99745000e+00 -6.64653333e-01
-2.99936667e+00 -9.83356667e-01
-3.00000000e+00 -1.33333333e+00
-3.00000000e+00 -1.66666667e+00
-3.00000000e+00 -2.00000000e+00
-3.00000000e+00 -2.33333333e+00
-2.88839333e+00 -2.67285333e+00
-2.64916333e+00 -2.94674000e+00
-2.32871667e+00 -3.05870000e+00
-2.03685000e+00 -2.98092333e+00
-1.84701000e+00 -2.65690333e+00
-1.75777333e+00 -2.31451000e+00
-1.65015000e+00 -1.99100000e+00
-1.53333000e+00 -1.67692667e+00
-1.38341333e+00 -1.43459333e+00
-1.27994667e+00 -1.10393333e+00
-1.15552667e+00 -7.25033333e-01
-1.03865000e+00 -4.20456667e-01
-9.47943333e-01 -3.15445333e-01
-8.20340000e-01 -2.67173667e-01
-6.92090000e-01 -3.23353667e-01
-6.08990000e-01 -4.65270000e-01
-6.71700000e-01 -6.65063333e-01
-8.25180000e-01 -9.60373333e-01
-9.50896667e-01 -1.31248333e+00
-1.07667333e+00 -1.65510333e+00
-1.19349333e+00 -1.96917667e+00
-1.31933000e+00 -2.30230000e+00
-1.28998000e+00 -2.61546667e+00
-1.10955667e+00 -2.93300000e+00
-8.18286667e-01 -3.03062667e+00
-5.38870000e-01 -2.93365333e+00
-3.12662000e-01 -2.58092000e+00
-1.67907000e-01 -2.35213333e+00
-3.16993331e-02 -2.21835000e+00
 1.14232333e-01 -2.17946667e+00
 2.60517667e-01 -2.19755333e+00
 3.80220000e-01 -2.34873333e+00
 4.72753333e-01 -2.53806667e+00
 6.68220000e-01 -2.78103000e+00
 9.92180000e-01 -2.87787000e+00
 1.28632333e+00 -2.76731000e+00
 1.51217667e+00 -2.38039667e+00
 1.51942000e+00 -2.01461000e+00
 1.49825667e+00 -1.66876667e+00
 1.43874333e+00 -1.27373667e+00
 1.35113000e+00 -9.48076667e-01
 1.23492333e+00 -6.12706667e-01
 1.14743000e+00 -3.06817333e-01
 1.18455333e+00 -1.58311667e-01
 1.26922667e+00 -9.51133333e-03
 1.42900000e+00  2.97914000e-01
 1.61755000e+00  5.65976667e-01
 1.80597667e+00  8.53810000e-01
 1.99452667e+00  1.12187000e+00
 2.15448333e+00  1.39964667e+00
 2.33587333e+00  1.69279000e+00
 2.54770667e+00  1.96531333e+00
 2.71122333e+00  2.29057333e+00
 2.58077667e+00  2.65917000e+00
 2.32355000e+00  2.91418333e+00
 2.00000000e+00  3.00000000e+00
 1.68179667e+00  3.00120000e+00
 1.33333333e+00  3.00000000e+00
 1.00000000e+00  3.00000000e+00
 6.66666667e-01  3.00000000e+00

Yellow Cone Positions
 3.33480000e-01  2.65816333e+00
-1.13250000e-02  2.65189000e+00
-3.33333333e-01  2.66666667e+00
-6.66666667e-01  2.66666667e+00
-1.00960667e+00  2.66303667e+00
-1.34372333e+00  2.67093333e+00
-1.67915333e+00  2.66840000e+00
-2.00976000e+00  2.66467000e+00
-2.33950667e+00  2.65138333e+00
-2.50991000e+00  2.58998000e+00
-2.62838667e+00  2.48807667e+00
-2.66851333e+00  2.33224333e+00
-2.67601667e+00  1.98293667e+00
-2.67080667e+00  1.65738667e+00
-2.67355333e+00  1.33238667e+00
-2.67596667e+00  1.00521333e+00
-2.68179667e+00  6.63100000e-01
-2.66910333e+00  3.32346333e-01
-2.66419000e+00 -6.76400000e-03
-2.66095000e+00 -3.32038667e-01
-2.67390333e+00 -6.52263333e-01
-2.66666667e+00 -1.00000000e+00
-2.66666667e+00 -1.33333333e+00
-2.66666667e+00 -1.66666667e+00
-2.66666667e+00 -2.00000000e+00
-2.66666667e+00 -2.33333333e+00
-2.56912333e+00 -2.59491333e+00
-2.47688333e+00 -2.73676667e+00
-2.33054000e+00 -2.76435000e+00
-2.19386000e+00 -2.70652667e+00
-2.13999000e+00 -2.55426667e+00
-2.05058000e+00 -2.24036333e+00
-1.94289667e+00 -1.92634667e+00
-1.81694333e+00 -1.61221333e+00
-1.67248333e+00 -1.33595000e+00
